"","text"
"201"," latte   day  steady  nerves  travelling   pandemic btstwt        love       btsarmy ptdonstagela "
"202","james blockfash logicalfallac autumnthunder gnev   lost   travelling abroad   beyond   people   desperate  travel  theres  global pandemic      start thinking  dont  parents abroad  lived     "
"203","haydndavies liamjoecook welshgovernment welshrugbyunion urcofficial  professional sportspeople   preferential treatment   singling  rugby players people   abroad amp  family overseas    deal   risks  travelling brings   global pandemic   choose    deal   consequences"
"204","mtownsendgolf golfmonthly dalewhitnell nolayingup johnstonliam oliverfarr wow   tale  woe   pandemic      risk travelling"
"205","downgerd lunchtimelivent andreagilligan    glad       time travelling   pandemic    highrisk family   home     lot   peers  piling   hall  students  knowing  safe    whilst    completely viable alternative isn"
"206","travelling   polar expedition   pandemic    experience   people     luckily  egucr egublogs ninja   trusty scientist sidekick dareliuselin  shared  adventure   lego comic read   "
"207"," spent   day calling  travel agency   airlines   day  im        pro tip  travelling   pandemic  book directly   airline liek holy shit maybe   particular travel agency  goddamn "
"208","travellingjake mypenceworth travelbiznews  sound  bit thick jake yes travel     modern world     middle   biggest pandemic   century  borders shouldve  shut   february   wait months    virus  amp   shutting   travelling  wait"
"209","rising covid vaccination rates   people  confident  travelling  airports   united  registering    busiest days    pandemic  thanksgivings day   automotive mobility automotivenews"
"210","idec     selfish   ive    cancel  holiday   fourth time due  covid  pandemic  actual hell  travelling         life "
"211","rachaelvenables lbc     price  travelling    pandemic       people  holidays  christmas        worth getting  pants pulled    airport  killing  gran  "
"212","afp    european countries  banned  travelling  spreading  virus oh  poor  african countries    screwed twice   pandemic   economic system  theres    pandemic      world  count  rich gt"
"213","clementsidwal bethfishersport itvwales people   travelling  exemption forms      pandemic    "
"214","clareeliza     hospital          england throughout  pandemic travelling   public transport doctors nurses  admin staff        wife  parents        am"
"215","dianemarieposts   ridiculous   listening  metro morning       heaven sake whinewhine whine travelling   plans   loved ones visit   pandemic  risky blaming  govt   consequences  ones risky behaviour  selfish"
"216","planning  trip  dont     try   beautiful  learn   turkeytravel turkey turkeytime travel travelling travelblog traveladdict traveltheworld travelphotography greece greecetravel greeceislands "
"217","jswinn ciaraphelan newschambers irishmirror yes      travelling daily     countries    pandemic  yes  accept  pcr test   hse       hrs  departure     hrs"
"218","   west rushed  ban african countries  travelling   pandemic infested countries   omicron    countries    discovered  africa "
"219","ctvottawa   hope  symptoms  mild amp   recovers   longhaul effects    totally predictable amp    assumed risk  travelling   active pandemic particularly  countries  limited   population vaccinated"
"220","connorgillies nicolasturgeon   borisjohnson realise    global pandemic travelling  meant   curtailed   love  god    stop mutations    infected  separated   uninflected"
"221","mrjamesob frankly  hard  tell  brexit      midst  worldwide pandemic  prevents business   workers  travelling etc disputes  france  occurred amp driver shortages exist  eu       choose  own pathresponse "
"222","im  hed    travelling  globe  simonreeve     series   truly special   home   pandemic      lengthy informed segment  flooding  land management  ep incl salfordhydro  thelakes "
"223"," excitement    boys  overtaken  anxiety  travelling   pandemic     breakfast  koya  btstwt btspermissiontodanceonstage"
"224","mandomunda dont start         traveller  earns   markad   blamed  goberment   travelling    pandemic time    irresponsible attitude  airport authority  administration waiting hours   airport"
"225","profabdoolkarim   temporary travel ban   punishment   people travelling   pandemic     variant"
"226","  goes    travelling  week   home country   pandemic   finally getting  flying anxiety  control      charts  tips  fellow anxious flyers"
"227","davidhillfm tvkev ve  travelling      pandemic    ll   benidorm     "
"228"," corona pandemic   slowed         emergence    variant  south africa      careful   variant   variant omicron  increased  global tension  "
"229","rachaelvenables lbc profiteering    pandemic shouldn  happening   hk  tests  free  travelling return  hk"
"230","    continue      people   family travelling internationally  jollies     pandemic   "
"231","  people  travelling    personality traitespecially   pandemic omg"
"232","  wake   global pandemic  realised          travelling  facetoface meetings  increased  efficiency     led   question   basis  international arbitration "
"233","travelling   international pandemic      fainthearted packs traveltuesday   socialmedia"
"234","thats  risk travelling   pandemic     "
"235","inquirerdotnet  govt       own safety    pandemic   meantime   public servants  celebs travelling     travel na   wrong  "
"236","  fob   ramp system  helps  commuters travelling  luggage  fob ramp   constructed    short span   months  spite   difficult situation due   pandemic "
"237","tmprowell  travel    halted    travelling   lethal pandemic"
"238"," travelling  india northern    forgiven  thinking   pandemic   "
"239"," feel     stuck abroad   decided  travel   pandemic    risks       people  vaccines travelling   world   ones spreading   guess  time  punish  unvaccinated   eh"
"240"," car hire business  expected  grow rapidly  people wake   travelling   post pandemic world zuru getzuru "
"241"," car hire business  expected  grow rapidly  people wake   travelling   post pandemic world  vaccine rollouts    lockdowns  resumption  air travel  car rental  expected  boom   people move   explore zuru getzuru "
"242"," online conferences   boring travelling  curtailed hate  pandemic "
"243","news people    travelling   lethal pandemic selfish  ignorant"
"244","   zealand borders remain closed  prevent  spread   covid pandemic amp  safeguard  people    hope  enter  zealand     criticalpurposevisa  "
"245","telehealth means youre  travelling   appointment saving  money  carbon emissions greenhealthforum  telehealth    household name  covid    drivers    outside   pandemic"
"246","ctp unoenthusiasts personally    wearing mine   started despite   im exempt    wear      wearing   comic convention    pandemic started    issue    continue        im travelling   safety "
"247","railwaynorthern train  dbrg lgh express bathroomswashrooms  sinks   dirty   unhygienic  travelling   unhygienic   pandemicpls   needful"
"248","gracescolleenb  rachels thanksgiving didnt   planned  gf caught  cold  people  fighting    didnt quarantine   gf       travelling   pandemic  left  families quarantine bubble"
"249","introvertnacho waah thank   hope   enjoy  im   thinking  doing  alolan vacation theme    travelling  pandemic blues  stinging hard         played sm  dunno    stretch   days"
"250","dianemarieposts travelling   pandemic  definitely  risk      willing  accept  cope "
"251","jsphctrl          forced    vaccine    forbidden  travelling  enrolling  school   taking    public activity      vaccinated ramaphosa feb "
"252","ctvnewsvi   price  pay  travelling   global pandemic "
"253","supertylerc  hope  pandemic completely  people travelling amp    office  sick"
"254","qualifyfor xedwards sorry aatos     political egos  darkening  heart youre  ports    pandemic  youre ok  people   infected  covid die kids  orphans time        wayi stand   religion  travelling  sin"
"255"," focus  exports   dcfta   opportunity  georgia  travelling  meet  mayor  kutaisi  tbilisi yesterday massive improvements   road infrastructure  obvious    covid pandemic georgia   stop major infrastructure projects  "
"256","vokskan owenbarder     travelling  vaccinated         happening   pandemic   fishy"
"257","travelling  tanzania   pandemic  luxury travel blog  luxurytravel "
"258","travelling      office    missed   uk   respondents  similar   pleased   lost unwanted travel commuting   assumption       person  "
"259","thisisaustralia  morning facebook   politely reminded   travelling     keynote speaker  mc   global pandemic swept  live events  conferences covid coronaviruspandemic coronavirusaustralia "
"260","ctvottawa travelling     pandemic  playing russian roulette"
"261","crowrivernet yaneerbaryam   wondering exactly      boarding  plane  travelling   pandemic       emergency reasons"
"262","ghostpagliacci oh  don   book   definitely check    love love love travelling     pandemic       favorite book    doubt  little prince   tired  read     "
"263","  lil cry  travelling  america    time   ny  course   pandemic     tons  friends eat  finest italian food  north america watch    favourite hc bands     friend luxuryevii feeling emotional"
"264","ppl living  firstworld countries    entitled amp selfish     pandemic continues re scheduling booster shots     rest   world   unvaccinated amp re travelling  bc     bc   cdnpoli onpoli  covax"
"265","heathrowairport    experienced  appalling treatment particularly   am  nervous   pregnant woman travelling   global pandemic  don  try    special assistance lane      physical disability terrible heathrow"
"266","piersmorgan    ones  berate people  travelling   pandemic    holiday  berated people  attending  gatherings     gathering  people "
"267","piersmorgan coming     spent months preaching  travelling   pandemic    holiday "
"268"," pandemic     phases remember   guys  super holier  thou telling people   selfish  travelling    fuck    times"
"269","myonlysecret     wallet    thinking     lot calvin     hard time   visit  unvaccinated dad   stress  travelling    pandemic  am glad    safely  home  hopefully  test   negative"
"270","pofflesenpai  swear governments    purpose hell    prime minister   hour  variant  detected travel   shut  fuck  oh   travelling   pandemic thats  fucking fault"
"271","  people travelling abroad   midst   global pandemic amp        allowed  travel  tough tactics  required    countries   failing union  force  outlier england  comply btw wear  mask reportingscotland "
"272","dobssi prifweinidog nicolasturgeon  fault  travelling   pandemic shouldnt  allowed   "
"273","travelling   pandemic    stressful           help      overseas holiday destination   offer rapid antigen tests  test results available  minutes   touch   "
"274","fnbsa travelling  close family  fnb ebucks    experience   easier despite  challenges   pandemic lovefnb "
"275","bdaveyphoto spainlover danwootton       holidays   abroad   family   pandemic     knowledge  testing  isolation requirements     change   time   pre warned  winter restrictions planning  travelling   "
"276","paschald banquedefrance     tips   unhinged covidians     stay totally unafraid  travelling   raging pandemic"
"277","jeffcallaway citizen   selfish   travelling     pandemic"
"278","  people travelling     damn pandemic  love  travel      mess     feel      carrying               im  mad  covidvariant "
"279","hi  name  steveyde   decided    gaming  irl travelling streaming   international pandemic ggs "
"280","jobloobird westmidrailway andywm tahiralimp  doubt   people  using trains due    home  example im  travelling  brum   week    tge pandemic   days  week"
"281","recordingacad third favorite   wizkid  afrobeats   listened   live performances  feel  im  vacation  travelling outside  country   listen   live performances   ive  stuck   home  months  pandemic"
"282","bookworm  helping raise money    school library  school  travelling  equivalent journey   moon   cause close   heart reading books definitely helped     pandemic please help  kids raise  funds "
"283","top tips  travelling  kids post covid postcovidtravel travelwithkids kidstravel parentingtips pandemic bblogrt worldwelfarert bloggingtek ourblogginglife "
"284","people complaining    selfisolate   return  ireland  britain      risks  travelling   global pandemic didn  understand"
"285","silv anecdotal  mask compliance     commute  london    people travelling  earlier   pandemic "
"286"," uk  absolutely stupid   tell  reporting    people  probably expats    honest    money   travelling     pandemic  costs       entitlement stop  "
"287","adamlawrence fuzzywuzzyto bethnov cat agreed ve ve followed  pandemic advice   advice  contradicts  previous advice   advice  runs counter   future advice  life    travelling  week  excited   "
"288","jacwilo neilhdn thejeremyvine  havent stop travelling  pandemic   wont yesterday  concert    amazing scientists boris   rest  sheeps    jump   perfectly crafted unvaccinated "
"289","ctvtoronto travelling   pandemic  risky  understand    family   trying  return  normal       isolate themselves   "
"290","msnbc travelling   pandemic   bad idea"
"291","ctvtoronto    travelling   global pandemic     "
"292","robfreudenthal drjanaway   stop spreading misinformation  maskwearing  lockdowns  travelling restrictions     pandemic restrictions   esp    variant"
"293","airlines log busiest days    thanksgiving  omicron poses  challenge wanderlust travelgram adventure travel travelling traveltheworld travel  plan plan  travel read   story  "
"294","bbcnews brace yourselves   judgemental serves    travelling   pandemic wankers ah theyre  "
"295","mirandalevycopy telegraphtravel     pandemicwhy    travelling  risking catchingtransmitting  deadly virusgtgt"
"296","riayn          move house   pandemic       hey     getting      people travelling  london   oes"
"297","shelaghfogarty  symptomatic   featherbedded      caller  travelling  italy  xmas   runofthemill  sort  exorbitant global swarming caused  pandemic amp  whats keeping  "
"298","aircanada shame shame shame advertisinfg discounted travel rates   ongoing pandemic  people   discouraged  travelling except  dire necessity especially  omicron   appearance"
"299","bbcsport bbcmotd unnecessary travelling considering     global pandemic"
"300","flaneurie travelling   global pandemic isnt  risk"
"301","travelling  business   moment     love  leisure travel   pandemic        exhausting"
"302","eveningstandard  morale   story travelling   global pandemic  risks   travel  accept  stay  home"
"303"," travelling  north india   pandemic         theres   variant omicron   rising  europe     worried   india prepared drlahariya breaks    bbcindia "
"304"," travelling interstate    time   start   pandemic   hours ahhhh"
"305","jaems wish  pratically  life  soojung   living   pandemic lt   love travelling    hope jaemin      day  "
"306","stop travelling period unless      goodbye   ailing family   zero reason     means prolonging  pandemic   "
"307","derekke angrystaffer  smallpox pandemic       worldwide travel        remotely close    travelling  happens "
"308"," biggest fear    actually    borders travelling  getting stuck    outbreak    believe  australian  stuck overseas    pandemic started"
"309","ah memories    day   dave  skipton beer festivalpre pandemic  travelling   train  local foods eaten smashing  "
"310","yes  finally released enjoy   video travelling  bali   bit strange  visit bali  pandemic   basically  international tourist hotspot "
"311","rtenews    actually  people tested   enter ireland   positive     allowed board  plane governments    blamed   shambles      else    life    crazy  travelling   pandemic  mad"
"312","singapore executions  family     weeks  arrange travel hotel quarantine   covid tests     enter singapore activists  highlighted  additional challenges  travelling   pandemic torture "
"313","ns     earlier stages   pandemic    people travelling  scotland  wales via airports  england     nations approach  requirements     ineffective   hope   nations agreement   reached"
"314","fm     earlier stages   pandemic    people travelling  scotland  wales via airports  england     nations approach  requirements     ineffective   hope   nations agreement   reached"
"315","burnsidenottosh  pesky botswanans travelling  chelmsford nottingham glasgow  canada  theres  global humanityending pandemic  "
"316","devongirl cartimandua gbnews  cant confirm        variant travelling   risky   start   pandemic amp im pretty   books  trip    mind"
"317","aenemus anantsyd samanthamaiden naveenjrazik newscomauhq minimising pain  youre travelling   family   holiday  dont hold  monopoly    shit time   pandemic people   grateful  relatives  alive millions  coming   christmas  lost family  covid thousands  children dead"
"318","snolen oh wow  sound entitled  luck  managing  anger snolen instead  fingers   maybe   look   own role     air travelling  pandemic  stepping    plane  potential exposure"
"319","jbenedictbrown   guess stockholmmalm   business travelers   night trains   mountain    north   reflect  type  pandemic effects  business travelling  decreased  active holiday trips increased"
"320","   postpandemic return   workplace   opportunity  reestablish boundaries  home  job    colleagues   flesh    represents   pointless travelling  heightened health risks  hybridwork"
"321"," travelling  northern india   forgiven  thinking  pandemic  passed    people  wearing masks   towns   fewer  practising social distancing  covid  rarely mentioned  conversation "
"322","travelling   international pandemic      fainthearted packs traveltuesday   socialmedia"
"323","thehauntedhub dealing  pandemic requires society level medicine  individual   vaccinated booster shots following guidance mask wearing etc qpcr tested  travelling risks  lower  protection  unvaccinated fill itus stress health care selfish morons"
"324","   funny  bts    concert       middle   pandemic     variant ppl  travelling overseas     concert  concert    cause  variant  wave blood    army  bts hands ptdonstagela"
"325","rubyruprai hehe      ur guests visiting   pandemic travelling  airports  unsafe     pray "
"326","adamlevadam politicsforali telegraph  wearing  masks   protect  people innocently   essential everyday tasks   shopping  travelling     brainless mobs    crowded    pandemic"
"327","irfandhalla umm    travel unless  essential   bloody pandemic    people travelling"
"328","sallybundockbbc bbcone bbcnews bbcworld tbh people   thinking twice  travelling abroad   holiday excuse       pandemic tourist please dont complain   return         pcr amp self isolate   own cost"
"329"," pretravel checks  vaccine passports  disembarkations    travel  changed forever join      ai amp ml   travelling smarter postpandemic click   register  smartertravel lenovochatshow wearelenovo "
"330","corona virus  india ready   third wave   approach  third    pandemic epidemiologist chandrakant lahariya writes   india  learn   fight  covid  travelling  india northern  "
"331","sallybundockbbc  personally      travelling         pandemic     grip amp bite  bullet    holiday abroad   own risk  dont moan      pcr  isolating"
"332","    currently exists  possibility  cessation forget countries  origins  blaming nation  fuk heads    travelling        pandemic   global      try  own hand   variant "
"333","ctvnewsvi     worldwide pandemic  isnt obvious   months   people forget     disease     caught  spread   vaxxed people     brain   travelling  dont feel sorry     bit"
"334","   preempt  hate ill probably   travelling abroad    days   goes dont  fucking bother okay  am taking  tests  ive filled   forms   past weeks    yall       pandemic"
"335","lochsharona downingstreet borisjohnson sadly travelling   global pandemic  risks  travelling takes  risks"
"336"," details     travelling  spread pandemic    understood  ignorance  airlines     beyond  understanding  reason "
"337","ctvnewsvi beware  travelling   pandemic  guess "
"338","alexbloor stay  bracknell      anti stab vest   sense  humour travelling abroad   pandemic unless     sounds  bit daft"
"339","facesneeker douchey jordanbpeterson     dad  brain damage  sending    sketchy unaccredited russian rehab   covid  travelling    pickup artist husband   height   pandemic id shut  fuck    rest   life"
"340","fifthofwhiskey cindyintoronto jakesisko  highway raise  health care workers  child care program ltc nightmare fucked  vaxx distribution hiding  months  worse   pandemic mps travelling abroad  restrictions    ford        please unfollow "
"341","  fuck   travelling   pandemic    allowed  travel   pandemic "
"342","jarogiesbrecht  imagine   im  spit balling  people stop fecking travelling  nonessential reasons   deadly viral pandemic naaaaaaaaaaaaaaaaaaaaaaaaaaah"
"343","hello  am  fascinated   world   beautiful    bc   pandemic travelling  meant  option  learn   cultures     talking abt ur culture  country please feel free  drop      love  swoon  "
"344","chriscraigman ain   truth    act   grown   travelling   global pandemic stay home"
"345","    doing getting   plane  travelling  seven fucking seas       pandemic    hell  overseas travel  allowed   privilege  white entitlement  crazy"
"346","  words  frank sinatra oh          december   teen daughter arrives home  travelling  globe   pandemic  "
"347","    acknowledged     pandemic   traveller   obese  travelling  covid  via conversationedu"
"348","louderthanmitam  feel     hand im  happy       hand   thinking   reason   planes    army   travelling     unsafe        pandemic    gather people   spot"
"349","sukhvin newolddream downingstreet  live aboard     travelling   uk  christmas    family  understand    pandemic     means extra costs   risk  trip  cancelled  thats     except follow  rules   throw  toys    pram"
"350","attention    pay   passenger locator form  travelling  covid pandemic  details below   guys  honest guide  "
"351","virginatlantic    cancellation policy  pandemic related cancelations travelling  america  january  worried   lock  causing issues   losing  flights  money "
"352","paulgall raging    expected travelling   global pandemic"
"353","briggs davewallsworth downingstreet thats  chance    travelling   pandemic  forced   travel   "
"354","npr theres  worldwide pandemic    changed    getting worse    travelling  gathering       forever fine thedemocrats time  send  money"
"355","crazy   people werent travelling halfway   world   ongoing pandemic   omicron variant wouldnt pose  threat   except south africa"
"356","gd travel news snow  greeted skiers   ski slopes  resorts  reopened  italy     closure due   pandemic tourists using  ski lifts  wear masks  travelling    top   slopes   permitted      skiing "
"357"," rode  chair   dude  seattle  meet  dad  ireland  yyc    ski st time   months  global ski teams amp people travelling    family    boarder closures   nonsensical pandemic theater"
"358","newolddream downingstreet   youre travelling   pandemic    expect lucky  flight wasnt cancelled"
"359","lbc tomswarbrick  feel  sorry  people travelling   pandemic   hotspot  disease   inconvenienced   issues    "
"360","thank  davetrafford newstalk  discussing  kelleygeophd travel  risk perceptions  canada   pandemic icymi  "
"361","   ban south africans  travelling   countrys health authorities  behaved responsibly  create  disincentive   countries  identify future variants  youll  concealment     china    start   pandemic"
"362"," dont  ive     friends    rn partly  pandemic   argh  head     fear  loneliness amp  followed  negative  etc amp social rustiness surely  wont     travelling solo looking  connect"
"363","drjacobsrad   actually broader travel restrictions    implemented   zero rationale  travelling       knee deep   pandemic  "
"364","noname sammwittings  course     faster  start     plane  land regardless  upheaval thats  tough  travelling   midst   pandemic"
"365","searchingfor johnnysayy  hope hmg   lucky  time  testing  uk airports introduced late  pandemic  didnt   heard anecdotally  various friends travelling home   height   holiday season  queued  hrs   sailed    checks "
"366","   americasrepublicanparty    st century conservatism  travelling  remain  ur own countries   pandemic  somehow conservativethinkers don understand  meaning   pandemic   embrace logic     dumbness"
"367","peterhotez   ban travelling     countries  people   currently vaccinated  stop  spread   pandemic"
"368","  histories   pandemic  written people       foolish   pretend   weren living   deadly pandemic     insist  travelling  leisurely purposes "
"369","drzazlos travelling   pandemic   fiasco          pay   privilege  afraid"
"370","bnodesk    ppl    travelling  fun   middle   pandemic  sarcasm merrychristmas covidiots"
"371","hear     omicronvariant  actually  eu  november germany registered   netherlands recorded     start   pandemic austriadenmark amp france  looking   lockdowns  guess  kept travelling "
"372","munsterrugby travelling half    world   pandemic  meat heads  chase  egg       "
"373","lifesafeast sorry   goes     miss travelling  europe   vaxxed amp boosted  hesitate     trapped       control  travel tighted  sigh worldwide  vax rates      pandemic"
"374","iamhappytoast iamian agree  shouldnt   law  people    seriously   dont    travelling   tube    pandemic     surprised   people    height    vax rollout   bother im glad  gonna  law"
"375","fosfusa hey gavreilly newschambers     news   travelling   pandemic   suppose     ff  fg   doesnt suit  agenda   hypocrisy   tabloid news org"
"376","northcoast skynews yes      foreigners kept travelling  africa  aboard refusing getting vaccine  aboard    dont follow rules majority black native africans dont travel  pandemic     family  stopped  pandemic"
"377","imilia  honestly ridiculous  people  travelling   real reason  excuse     holiday   fucking pandemic"
"378","        travelling    world   pandemic  quarantining  airports  live   fucking island"
"379","alankellylabour      infected  travelling freely   uk  ireland     politicians   band  experts    control  pandemic  super donnelly    eu countries  red list  mhq   dear masters  walk  streets safely"
"380","jorurutan   due   pandemic concert travelling      goes  merch  cds "
"381"," commented  thejournalie poll   travelled abroad   start   pandemic "
"382","lbc tomswarbrick  travelling   pandemic   insurance  deal   situations tough   haven"
"383","      pretending   pandemic    governments russian roulette game   gone    times   tories sat   hoc nomasks  clown visiting  masks travelling  mask    sake   economy"
"384","apparently  ppl    wear mask  shopping  tesco  travelling  train  pandemic  huge encroachment  civil liberties ve  doing  wo fail  march      inconvenience set   enormous benefits  "
"385","belvandlander seriously   wasnt   actors travelling   pandemic  taking precautions     season  march contrary  common belief   human    holiday sometimes "
"386","missrobinson gabrielsassoon nswhealth  passengers   trip  south africa   netherlands contact ed    plane     travelling  south africa  australia hours     day depending   route  stop    doesnt sound   perfect storm  pandemic potential"
"387","marksw     people    considerations     worldwide pandemic  follow  rules   wear  facecovering  travelling  avanti  "
"388","travelling   international pandemic      fainthearted packs traveltuesday   socialmedia"
"389","  travelling   pandemic etc"
"390","oohh  won    nth queensland   grey nomads      travelling    pandemic  agree btw "
"391","marctennant  paikin  seated    person  uk  despite breathing   air  hours  sent home  isolate  hours   amp  travelling  south africa sent  supervised quarantine   fortnight covidau leak route "
"392","  dua lipa didn    newsletter service  travel tips      travelling   world     pandemic  "
"393","missy    twice    pandemic     flu   son    people travelling  china  antibody test proved   covid    vaccines  son   caught  delta  elderly parents   slight cough   okay    test"
"394","im    goes   holidays especially abroad im  lazy  holidays  involve effort isnt  holiday    understand   people miss travelling etc   cant understand  willingly boarding  aeroplane   pandemic   insane"
"395","   travelling           third    pandemic     vaccines  "
"396","indonesia badminton festival  bali looks   massive success perfect answer   pandemic maybe  model  future tournaments makes   travelling worthwhile  helps reduce carbon footprint"
"397"," booking days  advance    situation statistically impossible unless  force    algorithms    obviously using  covid pandemic  families angst  travelling  gouge   push   spend  money  ease  minds"
"398","hiddenhorcrux scottmorrisonmp   countries didnt stay locked         situation   vaccine hesitancysupply issues failure  build fit  purpose quarantine facilities  maybe travelling overseas   family     costs  living thru   pandemic"
"399","  people complaining   pcr test   ots codting  thats     travelling   pandemic sweetcheeks"
"400","wordsbyjill  real pandemic     play     supposed      hear   difficult     family    sucks      people travelling recreationally        issue "
"401",NA
